Tequila & Tacos,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
"Test-Driven Development with Python, 2E",O'Reilly,9781491992739,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
"Test-Driven Development with Python, 2nd Edition",O'Reilly,,,Humble Book Bundle: Python Programming by O'Reilly
TEST-DRIVEN DEVELOPMENT WITH REACT AND TYPESCRIPT,Apress / Springer,978-1-4842-9842-8,,Humble Tech Book Bundle: Full Stack Development with Apress
"Test-Driven iOS Development with Swift 4, 3rd Edition",Packt,9781788475945,,iOS & Android Mobile Development by Packt
Testing Elixir,Pragmatic Bookshelf,9781680507829,,Humble Tech Book Bundle: Elixir Programming
Testing R Code,Taylor & Francis,9781498763462,,Data Science Essentials
Texas Hold 'Em,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Texas Hold'em For Dummies,Wiley,9780470046043,,Games & Puzzles by Wiley
Texas Q,The Quarto Group,9781592339662,,Humble Book Bundle: Cookbooks by Quarto
Texas Slow Cooker,The Quarto Group,9781592337675,,Humble Book Bundle: Cookbooks by Quarto
Text Analytics for Business Decisions,"Walter De Gruyter, Inc. / Mercury",9781428335110,,Data Science & Data Analytics
Text Mining and Visualization,Taylor & Francis,9781466568709,,Data Science Essentials
Text Processing with Ruby,Pragmatic Programmers,9781680500707,,Databases and Data Management by Pragmatic
The 150 Healthiest Comfort Foods on Earth,The Quarto Group,9781592334810,,Humble Book Bundle: Cookbooks by Quarto
The 4-Week Gut Health Plan,Callisto Publishing,9781641525015,,Humble Book Bundle: Health & Wellness
The 4-Week Insomnia Workbook,Callisto Publishing,9781641523462,,Humble Book Bundle: Health & Wellness
THE ABSOLUTE BEGINNER'S GUIDE TO HTML AND CSS,Apress / Springer,978-1-4842-9249-5,,Humble Tech Book Bundle: Full Stack Development with Apress
The Active Defender: Immersion in the Offensive Security Mindset,Wiley,9781119895213,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
The Age of Overwhelm: Strategies for the Long Haul,Berrett-Koehler,9781523094738,,Humble Book Bundle: Debug Your Life
The AI Dilemma,BPB Publications,9789355513250,,Humble Tech Book Bundle: Machine Learning and Artificial Intelligence
The AI Revolution in Project Management,Pearson,9780138297336,,"Humble Tech Book Bundle: Machine Learning, AI, Deep Learning, and LLM by Pearson"
The All New Illustrated Guide to Everything Sold in Hardware Stores,The Quarto Group,,,Humble Book Bundle: Home Sweet Home by Quarto
The Applied SQL Data Analytics Workshop,Packt,,,Humble Tech Book Bundle: Mastering Every Database by Packt
"The Art of Agile Development, 2E",O'Reilly,9781492080695,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
The Art of Attack: Attacker Mindset for Security Professionals,Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
The Art of Caring Leadership,Berrett-Koehler,9781523092048,,Humble Leadership by Berrett-Koehler
The Art of Data-Driven Business,Packt,,,Machine Learning and AI 2023
The Art of Deception: Controlling the Human Element of Security,Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
The Art of Eating,Open Road Media,Not Provided,,Creative Cooking by Open Road Media
The Art of Extreme Wig Styling,CBC Cosplay (Cowbutt Crunchies Cosplay),,,Humble Book Bundle: Return of the Cosplay
The Art of Failure: An Essay on the Pain of Playing Video Games,MIT Press,9780262019057,,Inside Gaming by MIT Press
"The Art of Intrusion: The Real Stories Behind the Exploits of Hackers, Intruders and Deceivers",Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
The Art of Looking Up,The Quarto Group,9781781318782,,The Armchair Traveler
The Art of Manliness,Simon & Schuster / Adams Media,9781605501697,,Life Hacks by Adams Media
"The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory",Wiley,Not specified,,Humble Book Bundle: Cybersecurity by Wiley
The Art of Picnics: Seasonal Outdoor Entertainment,Mango Media,9781642504781,,"Humble Book Bundle: Eat, Drink & Be Merry"
The Art of Preserving,Insight Editions,N/A,,The Chef's Kitchen
The Art of R Programming,No Starch Press,,,Coder's Bookshelf by No Starch Press
The Art of Readable Code,O'Reilly,9780596808297,,Humble Tech Book Bundle: Software Development Books by O'Reilly Media
The Art Of Setting Stones,Stone Bridge Press,9781611725070,,Humble Book Bundle: Japanese Art and Culture
"The Art of Unit Testing, Second Edition",Manning Publications,,,Code Like a Pro by Manning Publications
The Art of Writing Efficient Programs,Packt,9781800208117,,Humble Tech Book Bundle: Programming Mega Bundle
"The Astro Boy Essays: Osamu Tezuka, Mighty Atom, and the Manga/Anime Revolution",Stone Bridge Press,9781933330549,,Humble Book Bundle: Japanese Art and Culture
The Autism FAQ: Everything You Wanted to Know About Diagnosis & Autistic Life,Microcosm,9781648411175,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
The Autism Partner Handbook: How to Love an Autistic Person,Microcosm,9781648410499,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
"The Autism Relationships Handbook: How to Thrive in Friendships, Dating, and Love",Microcosm,Not Supplied,,Humble Books Bundle: Unf*ck Your Life by Microcosm
The Autism Relationships Workbook,Microcosm,N/A (eBook Download),,Humble Book Bundle: Unf*ck the Holidays by Microcosm
The Backyard Fire Cookbook,The Quarto Group,9781592338245,,Humble Book Bundle: Cookbooks by Quarto
The Battle for Your Computer: Israel and the Growth of the Global Cyber-Security Industry,Wiley,9781394174157,,Humble Tech Book Bundle: Cybersecurity 2023 by Wiley
The Beauty Geek's Guide to Skin Care,Callisto Publishing,9781641525077,,Humble Book Bundle: Health & Wellness
The Best of British Baking,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Best of New Orleans Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
"The Best Veggie Burgers on the Planet, revised and updated",The Quarto Group,9781592338849,,Humble Book Bundle: Cookbooks by Quarto
The Big Book of Small Python Projects,No Starch Press,9781718501256,,Humble Tech Book Bundle: Python by No Starch Press
The Big Book Of Words You Should Know To Sound Smart,Simon & Schuster / Adams Media,9781598698916,,Life Hacks by Adams Media
The Big Hoax,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
The Big-Ass Book of Home Decor,Abrams Books,9781584798255,,"Humble Book Bundle: Get Crafty: Knitting, Sewing & Crafting by ABRAMS"
The Black Terror Vol. 1,Dynamite Entertainment,9781606900499,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Black Terror Vol. 2,Dynamite Entertainment,9781606901403,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Black Terror Vol. 3,Dynamite Entertainment,9781606902172,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Book,MIT Press,9780262535410,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
"The Book of 3D Printing - Modeling, Finishing and More",Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
"The Book of Audacity: Record, Edit, Mix, and Master with the Free Audio Editor",No Starch Press,978-1-59327-270-8,,Humble Tech Book Bundle: Linux by No Starch Press
The Book of Cosplay Armor Making,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
The Book of Cosplay Motivation,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
The Book of Cosplay Sewing,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
The Book of F#: Breaking Free with Managed Functional Programming,No Starch Press,9781593275525,,Humble Book Bundle: Learn to Code the Fun Way
The Book of Foam Props - Lightweight and Affordable,Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
The Book of GIMP,No Starch Press,978-1-59327-383-5,,Humble Tech Book Bundle: Linux by No Starch Press
The Book of Inkscape,No Starch Press,978-1-59327-181-7,,Humble Tech Book Bundle: Linux by No Starch Press
The Book of Kubernetes,No Starch Press,978-1-71850-004-4,,Humble Tech Book Bundle: Linux by No Starch Press
The Book of PF,No Starch Press,978-1-59327-589-1,,Humble Tech Book Bundle: Linux by No Starch Press
The Book of R,No Starch Press,,,Coder's Bookshelf by No Starch Press
The Book of R: A First Course in Programming and Statistics,No Starch Press,9781593276515,,Humble Book Bundle: Learn to Code the Fun Way
The Book of Sleep,Callisto Publishing,9781641527910,,Humble Book Bundle: Health & Wellness
The Book Of Tea,Stone Bridge Press,9781611725285,,Humble Book Bundle: Japanese Art and Culture
The Boys Vol. 1: The Name of the Game,Dynamite Entertainment,9781933305738,,Humble Comics Bundle: The Boys Versus Project Superpowers
"The Boys Vol. 10: Butcher, Baker, Candlestickmaker",Dynamite Entertainment,9781606902646,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 11: Over the Hill with the Swords of a Thousand Men,Dynamite Entertainment,9781606903414,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 12: The Bloody Doors Off,Dynamite Entertainment,9781606903735,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 2: Get Some,Dynamite Entertainment,9781933305684,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 3: Good for the Soul,Dynamite Entertainment,9781933305929,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 4: We Gotta Go Now,Dynamite Entertainment,9781606900352,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 5: Herogasm,Dynamite Entertainment,9781606900826,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 6: The Self-Preservation Society,Dynamite Entertainment,9781606901250,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 7: The Innocents,Dynamite Entertainment,9781606901502,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 8: Highland Laddie,Dynamite Entertainment,9781606902073,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys Vol. 9: The Big Ride,Dynamite Entertainment,9781606902202,,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys: Dear Becky #1,Dynamite Entertainment,N/A (Single Issue),,Humble Comics Bundle: The Boys Versus Project Superpowers
The Boys: Dear Becky #2,Dynamite Entertainment,N/A (Single Issue),,Humble Comics Bundle: The Boys Versus Project Superpowers
The Brain Health Cookbook,Callisto Publishing,9781641528658,,Humble Book Bundle: Health & Wellness
The Business of Building a Better World,Berrett-Koehler,9781523092017,,Humble Leadership by Berrett-Koehler
The Business of Design: Balancing Creativity and Profitability,Princeton Architectural Press,9781616891794,,Graphic Design 101
The C# Workshop,Packt,9781800566491,,Humble Tech Book Bundle: Mastery of C# and .NET awaits
The Cape: And Other Stories From The Japanese Ghetto.,Stone Bridge Press,9781611725100,,Humble Book Bundle: Japanese Art and Culture
The Cathedral & the Bazaar,O'Reilly Media,9780596001087,,Humble Book Bundle: Gifts for the Technically Inclined
The Cocktail Companion,Mango Media,9781633537941,,"Humble Book Bundle: Eat, Drink & Be Merry"
The Complete ASP.NET Core API Tutorial,Springer / Apress,9781484271476,,Mastering Microsoft Development
"The Complete Book of Fun Maths: 250 Confidence-boosting Tricks, Tests and Puzzles",Wiley,9780470870914,,Games & Puzzles by Wiley
The Complete Coding Interview Guide in Java,Packt,9781839212062,,Humble Tech Book Bundle: Programming Mega Bundle
The Complete Italian Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Complete OCD Workbook,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
The Complete Photo Guide to Clothing Construction,The Quarto Group,9781589237964,,"Crafting, Knitting, & More"
The Complete Photo Guide to Perfect Fitting,The Quarto Group,9781589236080,,"Crafting, Knitting, & More"
The Computers that Made Britain,Raspberry Pi Press,N/A (Historical/Special),,Humble Book Bundle: Raspberry Pi Uncut
The Cookbook for Kids,Insight Editions,N/A,,The Chef's Kitchen
The Cookie Dough Lover's Cookbook,Quirk Books,9781594745645,,Cooking Forking Good Food
The Cookiepedia,Quirk Books,9781594745423,,Cooking Forking Good Food
The Coroner,Crooked Lane Books,9781683316237,,Humble Book Bundle: Murder by the Book from Crooked Lane
The Count Of 9,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
The Courage Party: Helping Our Resilient Children Understand and Survive Sexual Assault,Microcosm,Not Supplied,,Humble Books Bundle: Unf*ck Your Life by Microcosm
The Courage Way: Leading and Living with Integrity,Berrett-Koehler,9781626569119,,Humble Leadership by Berrett-Koehler
The Craft Cocktail Compendium,The Quarto Group,9780760364949,,Humble Book Bundle: Cookbooks by Quarto
The Crafty Gardener: Inspired Ideas and DIY Crafts From Your Own Backyard,Mango Media,9781642502626,,"Humble Book Bundle: Eat, Drink & Be Merry"
The Daily Cocktail,The Quarto Group,9781631065439,,Humble Book Bundle: Cookbooks by Quarto
The Death-Defying 'Devil (Vol. 2) #1,Dynamite Entertainment,N/A (Single Issue),,Humble Comics Bundle: The Boys Versus Project Superpowers
The Definitive Guide to Jakarta Faces in Jakarta EE 10,Springer / Apress,978-1484293072,,Full Stack Web Development by Springer/Apress
The Designer Says,Princeton Architectural Press,9781616891343,,Graphic Design 101
The Digital Shopfloor: Industrial Automation in the Industry 4.0 Era,River Publishers,N/A,,Humble Tech Book Bundle: Big Data & IoT by River Publishers
The Docker Workshop,Packt Publishing,9781838983444,,CI/CD Mastery for Cloud Infrastructure
The Dots and Boxes Game: Sophisticated Child's Play,Taylor & Francis Group / A K Peters,9781568811291,,Humble Book Bundle: Math & Puzzles Train Your Brain
The Easy Creole and Cajun Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Easy Filipino Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Easy Italian Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Easy Puerto Rican Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Electric Pressure Cooker Curry Cookbook,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
The Elusive Shift,Penguin Random House US,9780262544900,,Inside Gaming by MIT Press
The Emergency Survival Manual,Weldon Owen,9781681885315,,Ultimate Survival Guides
The Emotional Abuse Recovery Workbook,Callisto Publishing,N/A (Digital Bundle),,Humble Book Bundle: Mental Health by Callisto Media
"The Encyclopedia of Electronic Components: Power Sources & Conversion, Vol. 1",O'Reilly,9781449333898,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
The Encyclopedia of Electronic Components: Vol. 2: Signal Processing,O'Reilly,9781449334185,,Humble Book Bundle: Advanced Making Electronics with Charles Platt by Make:
